Tag;Anfang;Ende;Veranstaltung;Dozent;Raum;Bemerkung
Mo;8:00;9:30;Programmierung I - VL;Kelb, Peter, Prof. Dr.; ; 
Mo;9:45;11:15;Diskrete Mathematik VL;Fischer, Lars, Prof. Dr.; ; 
Mo;11:30;13:00;Programmierung I - Labor (Grp 5);Kelb, Peter, Prof. Dr.; ; 
Mo;13:45;15:15;Modellierung-SWE I VL;Erb,  Ulrike, Prof. Dr. - Ing.; ; 
Mo;15:30;17:00;Programmierung I - Labor (Grp 2);Fischer, Lars, Prof. Dr.; ; 
Mo;17:15;18:45;Repetitorium Diskrete Mathematik;Stoffers, Ronald; ; 
Di;9:00;11:00;Gremienblock; ; ; 
Di;9:45;11:15;Repetitorium Diskrete Mathematik;Stoffers, Ronald; ; 
Di;11:30;13:00;Programmierung I - VL;Kelb, Peter, Prof. Dr.; ; 
Di;13:45;15:15;Programmierung I - Labor (Grp 1);Kelb, Peter, Prof. Dr.; ; 
Di;15:30;17:00;Programmierung I - Labor (Grp 4);Wissel, Wolfgang; ; 
Di;17:15;18:45;Programmierung I - Labor (Grp 3);Radfelder, Oliver, Prof. Dr.; ; 
Mi;8:00;9:30;Graphen und Endliche Automaten (Grp 1);Umland, Thomas, Prof. Dr.; ; 
Mi;9:45;11:15;Graphen und Endliche Automaten (Grp 2);Umland, Thomas, Prof. Dr.; ; 
Mi;11:30;13:00;Graphen und Endliche Automaten (Grp 3);Umland, Thomas, Prof. Dr.; ; 
Mi;13:45;15:15;Graphen und Endliche Automaten (Grp 4);Umland, Thomas, Prof. Dr.; ; 
Mi;15:30;17:00;Graphen und Endliche Automaten (höhere Semester);Umland, Thomas, Prof. Dr.; ; 
Do;8:00;9:30;Modellierung-SWE I Üb. Gruppeneinteilung n. bes. Plan;Erb,  Ulrike, Prof. Dr. - Ing.; ; 
Do;9:45;11:15;Einführung in die Informatik/Wirtschaftsinformatik (Teams 07-12);Fischer, Lars, Prof. Dr.,Radfelder, Oliver, Prof. Dr.,Vosseberg, Karin, Prof. Dr.,Erb,  Ulrike, Prof. Dr. - Ing.; ; 
Do;9:45;11:15;Einführung in die Informatik/Wirtschaftsinformatik (Teams 01-06);Fischer, Lars, Prof. Dr.,Radfelder, Oliver, Prof. Dr.,Vosseberg, Karin, Prof. Dr.,Erb,  Ulrike, Prof. Dr. - Ing.;T00-002 (RK=78); 
Do;11:30;13:00;Einführung in die Informatik/Wirtschaftsinformatik (Teams 07-12);Fischer, Lars, Prof. Dr.,Radfelder, Oliver, Prof. Dr.,Vosseberg, Karin, Prof. Dr.,Erb,  Ulrike, Prof. Dr. - Ing.; ; 
Do;11:30;13:00;Einführung in die Informatik/Wirtschaftsinformatik (Teams 01 - 06);Erb,  Ulrike, Prof. Dr. - Ing.,Fischer, Lars, Prof. Dr.,Radfelder, Oliver, Prof. Dr.,Vosseberg, Karin, Prof. Dr.;T00-002 (RK=78); 
Do;13:45;15:15;Einführung in die Informatik/Wirtschaftsinformatik  (Teams 01-06);Fischer, Lars, Prof. Dr.,Radfelder, Oliver, Prof. Dr.,Vosseberg, Karin, Prof. Dr.,Erb,  Ulrike, Prof. Dr. - Ing.;THP  (RK=23/18); 
Do;13:45;15:15;Modellierung-SWE I Üb. Gruppeneinteilung n. bes. Plan;Erb,  Ulrike, Prof. Dr. - Ing.; ; 
Do;15:30;17:00;Einführung in die Informatik/Wirtschaftsinformatik  (Teams 07-12);Fischer, Lars, Prof. Dr.,Radfelder, Oliver, Prof. Dr.,Vosseberg, Karin, Prof. Dr.,Erb,  Ulrike, Prof. Dr. - Ing.; ; 
Do;15:30;17:00;Modellierung-SWE I Üb. Gruppeneinteilung n. bes. Plan;Erb,  Ulrike, Prof. Dr. - Ing.;THP  (RK=23/18); 
Fr;9:45;11:15;Diskrete Mathematik - Üb (Grp1);Fischer, Lars, Prof. Dr.;S 318 (RK=35); 
Fr;11:30;13:00;Diskrete Mathematik - Üb (Grp2);Fischer, Lars, Prof. Dr.;S 318 (RK=35); 
Fr;13:45;15:15;Diskrete Mathematik - Üb (Grp3);Fischer, Lars, Prof. Dr.;S 318 (RK=35); 
Fr;15:30;17:00;Diskrete Mathematik - Üb (Grp4);Fischer, Lars, Prof. Dr.;S 318 (RK=35); 
